playlist_position,video_id,published_at,privacy_status,title_family,is_target_default,normalized_timestamp,old_title,old_description,current_hero,current_boss,current_series,mode,hero_name,boss_name,series_name,verification_status,verification_reason,stt_confidence,stt_raw,final_title,final_description,needs_review,apply,review_notes,pair_score
0,uH8XFK5RD5E,2026-04-04T06:15:51Z,public,formatted_book_of_heroes,FALSE,,Chef Scabbs vs Gutmook – Book of Heroes | Hearthstone | Adventure Mode,"Chef Scabbs vs Gutmook – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft] 
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Chef Scabbs vs Gutmook boss fight 
[2026 03 16T22 27 25]",Chef Scabbs,Gutmook,Book of Heroes,other_adventures,Chef Scabbs,Gutmook,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,"Scabs! The fifth gut, Nizk! Some time to slice and dice! NEEEEL BEFORE TRUG!",Chef Scabbs vs Gutmook – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Chef Scabbs vs Gutmook encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,18
1,ExR80_Kc0LE,2026-04-03T21:53:02Z,public,formatted_book_of_heroes,FALSE,,Medivh vs Fungalmancer Flurgl – Book of Heroes | Hearthstone | Adventure Mode,"Medivh vs Fungalmancer Flurgl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Medivh vs Fungalmancer Flurgl boss fight
[2026 03 20T22 11 55]",Medivh,Fungalmancer Flurgl,Book of Heroes,other_adventures,Medivh,Fungalmancer Flurgl,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,Medivh vs Fungalmancer Flurgl – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Medivh vs Fungalmancer Flurgl encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,22
2,PbE4ewC64C4,2026-04-03T21:51:58Z,public,formatted_book_of_heroes,FALSE,,Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs George and Karl boss fight
[2026 03 20T22 20 01]",Kel'Thuzad,George and Karl,Book of Heroes,other_adventures,Kel'Thuzad,George and Karl,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,Kel'Thuzad vs George and Karl – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the Kel'Thuzad vs George and Karl encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,18
3,Exc86GNipFg,2026-04-03T21:51:05Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Giant Rat boss fight
[2026 03 20T22 23 33]",King Rastakhan,Giant Rat,Book of Heroes,other_adventures,King Rastakhan,Giant Rat,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,King Rastakhan vs Giant Rat – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Giant Rat encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,18
4,1ALxjY6v0BU,2026-04-03T21:50:19Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Candlebeard – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Candlebeard – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Candlebeard boss fight
[2026 03 20T22 27 25]",King Rastakhan,Candlebeard,Book of Heroes,other_adventures,King Rastakhan,Candlebeard,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,King Rastakhan vs Candlebeard – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Candlebeard encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,18
5,9hKTXH-om70,2026-04-03T21:49:37Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Seriona – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Seriona – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Seriona boss fight
[2026 03 20T22 29 44]",King Rastakhan,Seriona,Book of Heroes,other_adventures,King Rastakhan,Seriona,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,King Rastakhan vs Seriona – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Seriona encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,18
6,gv5mCyBkVPY,2026-04-03T21:11:43Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Blackseed boss fight
[2026 03 20T22 33 17]",King Rastakhan,Blackseed,Book of Heroes,other_adventures,King Rastakhan,Blackseed,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,King Rastakhan vs Blackseed – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Blackseed encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,18
7,lAOTBE9xWeY,2026-04-03T21:09:19Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Whompwhisker – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Whompwhisker – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Whompwhisker boss fight
[2026 03 20T22 40 35]",King Rastakhan,Whompwhisker,Book of Heroes,other_adventures,King Rastakhan,Whompwhisker,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,King Rastakhan vs Whompwhisker – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Whompwhisker encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,18
8,fOH7DVQzgmo,2026-04-03T21:08:33Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs Chronomancer Inara – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Chronomancer Inara – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Chronomancer Inara boss fight
[2026 03 21T00 18 38]",King Rastakhan,Chronomancer Inara,Book of Heroes,other_adventures,King Rastakhan,Chronomancer Inara,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,King Rastakhan vs Chronomancer Inara – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs Chronomancer Inara encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,18
9,3F32Cmt0RI0,2026-04-03T21:07:37Z,public,formatted_book_of_heroes,FALSE,,King Rastakhan vs King Togwaggle – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs King Togwaggle – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs King Togwaggle boss fight
[ 2026 03 21T00 27 25]",King Rastakhan,King Togwaggle,Book of Heroes,other_adventures,King Rastakhan,King Togwaggle,Adventure Mode,verified_match,current_title_matches_trusted_matchup,high,you,King Rastakhan vs King Togwaggle – Adventure Mode | Hearthstone | Adventure Mode,"Hearthstone Adventure Mode gameplay from Adventure Mode.

Featuring the King Rastakhan vs King Togwaggle encounter.

Part of the Hearthstone adventure playlist.",FALSE,TRUE,auto_apply_mass_v6,18
