local_file,uploaded,matched_video_id,matched_title
CS2 - 2026-04-18T22-46-25.mp4,N,,
CS2 - 2026-04-18T23-24-34.mp4,N,,
CS2 - 2026-04-18T23-46-20.mp4,N,,
CS2 - 2026-04-19T00-18-23.mp4,N,,
CS2 - 2026-04-19T00-58-58.mp4,N,,
CS2 - 2026-04-20T23-39-12.mp4,N,,
CS2 - 2026-04-22T23-15-04.mp4,N,,
Hearthstone_ Heroes of Warcraft - 2026-03-26T20-39-00.mp4,N,,
Hearthstone_ Heroes of Warcraft - 2026-04-12T22-01-44.mp4,Y,d0vHUmvf9Vo,Hearthstone_ Heroes of Warcraft - 2026-04-12T22-01-44
Hearthstone_ Heroes of Warcraft - 2026-04-12T22-08-24.mp4,Y,prVXQWuWq6A,Hearthstone_ Heroes of Warcraft - 2026-04-12T22-08-24
Hearthstone_ Heroes of Warcraft - 2026-04-12T22-19-46.mp4,Y,KsGLvaTdE0c,Hearthstone_ Heroes of Warcraft - 2026-04-12T22-19-46
Hearthstone_ Heroes of Warcraft - 2026-04-12T22-29-55.mp4,Y,Q7So-TCkuZY,Hearthstone_ Heroes of Warcraft - 2026-04-12T22-29-55
Hearthstone_ Heroes of Warcraft - 2026-04-12T22-40-31.mp4,Y,hF8kivGx3J0,Hearthstone_ Heroes of Warcraft - 2026-04-12T22-40-31
Hearthstone_ Heroes of Warcraft - 2026-04-12T22-59-40.mp4,Y,gnk82Y4IN80,Hearthstone_ Heroes of Warcraft - 2026-04-12T22-59-40
Hearthstone_ Heroes of Warcraft - 2026-04-13T15-18-32.mp4,Y,eH2b87dCvgA,Hearthstone_ Heroes of Warcraft - 2026-04-13T15-18-32
Hearthstone_ Heroes of Warcraft - 2026-04-13T15-26-31.mp4,Y,hDGnJ2dk5DY,Hearthstone_ Heroes of Warcraft - 2026-04-13T15-26-31
Hearthstone_ Heroes of Warcraft - 2026-04-13T15-34-13.mp4,Y,N6n6cNMbdHE,Hearthstone_ Heroes of Warcraft - 2026-04-13T15-34-13
Hearthstone_ Heroes of Warcraft - 2026-04-13T15-44-39.mp4,Y,y1UVYld71mI,Hearthstone_ Heroes of Warcraft - 2026-04-13T15-44-39
Hearthstone_ Heroes of Warcraft - 2026-04-13T15-51-41.mp4,Y,pdjCT_oA-Us,Hearthstone_ Heroes of Warcraft - 2026-04-13T15-51-41
Hearthstone_ Heroes of Warcraft - 2026-04-13T16-46-23.mp4,Y,R4ySvyrpq40,Hearthstone_ Heroes of Warcraft - 2026-04-13T16-46-23
Hearthstone_ Heroes of Warcraft - 2026-04-13T17-07-02.mp4,Y,x34ZeWEjZT8,Hearthstone_ Heroes of Warcraft - 2026-04-13T17-07-02
Hearthstone_ Heroes of Warcraft - 2026-04-13T18-13-48.mp4,Y,5xhyNhEi17M,Hearthstone_ Heroes of Warcraft - 2026-04-13T18-13-48
Hearthstone_ Heroes of Warcraft - 2026-04-13T23-26-34.mp4,Y,ptUbdeD2Bf0,Hearthstone_ Heroes of Warcraft - 2026-04-13T23-26-34
Hearthstone_ Heroes of Warcraft - 2026-04-20T23-53-35.mp4,N,,
League of Legends - 2026-04-13T12-47-00.mp4,Y,Iwb65Xhk0us,League of Legends - 2026-04-13T12-47-00
