playlist_position,video_id,published_at,privacy_status,title_family,is_target_default,normalized_timestamp,old_title,old_description,previous_formatted_title,next_formatted_title,suggested_title,suggested_description,confidence,suggestion_basis,apply,review_notes,hero_name,boss_name,final_title,final_description,stt_raw,stt_confidence
0,uH8XFK5RD5E,2026-04-04T06:15:51Z,public,formatted,FALSE,,Chef Scabbs vs Gutmook – Book of Heroes | Hearthstone | Adventure Mode,"Chef Scabbs vs Gutmook – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft] 
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Chef Scabbs vs Gutmook boss fight 
[2026 03 16T22 27 25]",,Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,"Hearthstone Book of Heroes gameplay from Adventure Mode.

Part of the Hearthstone - Adventure mode playlist.",low,next formatted neighbor only,FALSE,,,,,,,
1,ExR80_Kc0LE,2026-04-03T21:53:02Z,public,other,FALSE,,Medivh vs Fungalmancer Flurgl,"Medivh vs Fungalmancer Flurgl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Medivh vs Fungalmancer Flurgl boss fight
[2026 03 20T22 11 55]",Chef Scabbs vs Gutmook – Book of Heroes | Hearthstone | Adventure Mode,Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,,,,,,,
2,PbE4ewC64C4,2026-04-03T21:51:58Z,public,formatted,FALSE,,Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs George and Karl boss fight
[2026 03 20T22 20 01]",Chef Scabbs vs Gutmook – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,,,,,,,
3,Exc86GNipFg,2026-04-03T21:51:05Z,public,formatted,FALSE,,King Rastakhan vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Giant Rat boss fight
[2026 03 20T22 23 33]",Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Candlebeard – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,,,,,,,
4,1ALxjY6v0BU,2026-04-03T21:50:19Z,public,formatted,FALSE,,King Rastakhan vs Candlebeard – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Candlebeard – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Candlebeard boss fight
[2026 03 20T22 27 25]",King Rastakhan vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Seriona – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,,,,,,,
5,9hKTXH-om70,2026-04-03T21:49:37Z,public,formatted,FALSE,,King Rastakhan vs Seriona – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Seriona – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Seriona boss fight
[2026 03 20T22 29 44]",King Rastakhan vs Candlebeard – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,,,,,,,
6,gv5mCyBkVPY,2026-04-03T21:11:43Z,public,formatted,FALSE,,King Rastakhan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Blackseed boss fight
[2026 03 20T22 33 17]",King Rastakhan vs Seriona – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Whompwhisker – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,,,,,,,
7,lAOTBE9xWeY,2026-04-03T21:09:19Z,public,formatted,FALSE,,King Rastakhan vs Whompwhisker – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Whompwhisker – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Whompwhisker boss fight
[2026 03 20T22 40 35]",King Rastakhan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Chronomancer Inara – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,,,,,,,
8,fOH7DVQzgmo,2026-04-03T21:08:33Z,public,formatted,FALSE,,King Rastakhan vs Chronomancer Inara – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Chronomancer Inara – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Chronomancer Inara boss fight
[2026 03 21T00 18 38]",King Rastakhan vs Whompwhisker – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs King Togwaggle – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,,,,,,,
9,3F32Cmt0RI0,2026-04-03T21:07:37Z,public,formatted,FALSE,,King Rastakhan vs King Togwaggle – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs King Togwaggle – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs King Togwaggle boss fight
[ 2026 03 21T00 27 25]",King Rastakhan vs Chronomancer Inara – Book of Heroes | Hearthstone | Adventure Mode,Kel'Thuzad vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,,,,,,,
